"CO001","CO002","CO003","CO004","CO005","CO006","CO007","CO008","CO009","CO010","CO011","CO012","CO013","CO014","CO015","CO016","CO017","CO018","CO019","CO020","CO021","CO022","CO023","CO024","CO025","CO026","CO027","CO028","CO029","CO030","CO031","CO032","CO033","CO034","CO035","CO036","CO037","CO038","CO039","CO040","CO041","CO042","CO043","CO044","CO045","CO046","CO047","CO048","CO049","CO050","CO051","CO052","CO053","ENTHA","TEMPE","Points:0","Points:1","Points:2"
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.5654e-136,-1.1141e-121,1.4386e-129,-1.4303e-97,5.8954e-115,3.6402e-132,8.2603e-129,7.1753e-76,-1.5195e-97,-8.2918e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,6.1850e-129,2.6527e-131,1.7849e-128,-1.3050e-96,3.8350e-01,1.7186e-155,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.001204,0.00026846,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.7408e-139,-1.1141e-121,1.5911e-132,-1.4303e-97,5.8954e-115,4.0694e-135,9.1142e-132,7.1753e-76,-1.5195e-97,-8.7930e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,6.8418e-132,2.9381e-134,1.9750e-131,-1.3050e-96,3.8350e-01,1.8665e-158,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.00080268,0.00053691,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.7986e-139,-1.1141e-121,1.6445e-132,-1.4303e-97,5.8954e-115,4.2029e-135,9.4223e-132,7.1753e-76,-1.5195e-97,-8.7930e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,7.0717e-132,3.0365e-134,2.0414e-131,-1.3050e-96,3.8350e-01,1.9319e-158,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.00080268,0,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.7228e-141,-1.1141e-121,1.5693e-134,-1.4303e-97,5.8954e-115,4.0484e-137,8.9724e-134,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,6.7492e-134,2.9012e-136,1.9488e-133,-1.3050e-96,3.8350e-01,1.8143e-160,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.00053512,0.0009396,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.9418e-141,-1.1141e-121,1.7711e-134,-1.4303e-97,5.8954e-115,4.5572e-137,1.0132e-133,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,7.6168e-134,3.2731e-136,2.1991e-133,-1.3050e-96,3.8350e-01,2.0571e-160,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.00053512,0,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,-1.1556e-144,-1.1141e-121,6.0627e-138,-1.4303e-97,5.8954e-115,1.5853e-140,3.4565e-137,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,2.6080e-137,1.1227e-139,7.5332e-137,-1.3050e-96,3.8350e-01,6.8581e-164,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0,0.00026846,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,-1.1766e-144,-1.1141e-121,5.8708e-138,-1.4303e-97,5.8954e-115,1.5360e-140,3.3466e-137,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,2.5255e-137,1.0873e-139,7.2949e-137,-1.3050e-96,3.8350e-01,6.6340e-164,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0,0.00053691,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,-1.2076e-144,-1.1141e-121,5.5878e-138,-1.4303e-97,5.8954e-115,1.4635e-140,3.1845e-137,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,2.4038e-137,1.0350e-139,6.9437e-137,-1.3050e-96,3.8350e-01,6.3024e-164,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0,0.00080537,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.8224e-141,-1.1141e-121,1.6612e-134,-1.4303e-97,5.8954e-115,4.2796e-137,9.5006e-134,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,7.1442e-134,3.0705e-136,2.0627e-133,-1.3050e-96,3.8350e-01,1.9251e-160,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.00053512,0.00067114,0
6.5788e-69,5.2102e-67,1.7024e-53,1.1650e-01,1.1114e-49,3.9329e-47,2.4874e-36,8.5970e-49,-4.0085e-70,-3.7652e-96,1.0738e-68,5.9341e-70,1.1331e-36,5.0000e-01,4.9077e-64,1.7489e-64,6.7036e-75,6.5747e-47,3.2187e-87,3.9534e-54,1.6308e-57,1.2004e-135,-1.8984e-97,9.9053e-119,2.6740e-73,2.1345e-74,3.5886e-65,1.5350e-143,-1.1141e-121,1.5561e-136,-1.4303e-97,5.8954e-115,4.0494e-139,8.8796e-136,7.1753e-76,-1.5195e-97,-8.7935e-127,1.5020e-63,7.7354e-117,-1.1186e-101,-1.1604e-106,8.8756e-120,-4.9787e-96,6.6933e-136,2.8801e-138,1.9331e-135,-1.3050e-96,3.8350e-01,1.7727e-162,2.9940e-111,1.3574e-104,5.8796e-117,1.0000e+00,-2.322e+06,300,0.00026756,0.0012081,0
