CO0,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,ENTHA,TEMPE
0.014467517838966193,0.2296287876047819,0.0,0.0,0.0,0.0,0.0,0.0,0.755903694556252,890685.9389128444,1000.0
0.015330894678161499,0.22942762104719086,0.0,0.0,0.0,0.0,0.0,0.0,0.7552414842746477,898886.4128206773,1000.0
0.016192760116919228,0.22922680664547124,0.0,0.0,0.0,0.0,0.0,0.0,0.7545804332376095,907072.5312358795,1000.0
0.017053118120484028,0.2290263434757222,0.0,0.0,0.0,0.0,0.0,0.0,0.7539205384037937,915244.3318208988,1000.0
0.017911972640241927,0.22882623061727186,0.0,0.0,0.0,0.0,0.0,0.0,0.7532617967424862,923401.8521065522,1000.0
0.018769327613780865,0.22862646715266344,0.0,0.0,0.0,0.0,0.0,0.0,0.7526042052335558,931545.1294926003,1000.0
0.01962518696495082,0.2284270521676409,0.0,0.0,0.0,0.0,0.0,0.0,0.7519477608674083,939674.2012483189,1000.0
0.020479554603923703,0.22822798475113532,0.0,0.0,0.0,0.0,0.0,0.0,0.751292460644941,947789.1045130669,1000.0
0.0213324344272529,0.22802926399525092,0.0,0.0,0.0,0.0,0.0,0.0,0.7506383015774962,955889.8762968534,1000.0
0.0221838303179325,0.22783088899525117,0.0,0.0,0.0,0.0,0.0,0.0,0.7499852806868164,963976.5534808993,1000.0
0.02303374614545624,0.2276328588495451,0.0,0.0,0.0,0.0,0.0,0.0,0.7493333950049986,972049.1728181965,1000.0
0.02388218576587611,0.22743517265967375,0.0,0.0,0.0,0.0,0.0,0.0,0.7486826415744501,980107.7709340662,1000.0
0.02472915302186066,0.2272378295302964,0.0,0.0,0.0,0.0,0.0,0.0,0.7480330174478429,988152.3843267111,1000.0
0.025574651742753057,0.2270408285691772,0.0,0.0,0.0,0.0,0.0,0.0,0.7473845196880697,996183.0493677683,1000.0
0.026418685744628752,0.22684416888717163,0.0,0.0,0.0,0.0,0.0,0.0,0.7467371453681995,1004199.8023028559,1000.0
0.02726125883035291,0.2266478495982133,0.0,0.0,0.0,0.0,0.0,0.0,0.7460908915714339,1012202.6792521183,1000.0
0.02810237478963751,0.22645186981930024,0.0,0.0,0.0,0.0,0.0,0.0,0.7454457553910624,1020191.7162107703,1000.0
0.0289420373990982,0.22625622867048212,0.0,0.0,0.0,0.0,0.0,0.0,0.7448017339304197,1028166.9490496344,1000.0
0.02978025042231077,0.22606092527484692,0.0,0.0,0.0,0.0,0.0,0.0,0.7441588243028423,1036128.4135156799,1000.0
0.030617017609867424,0.22586595875850768,0.0,0.0,0.0,0.0,0.0,0.0,0.7435170236316249,1044076.1452325566,1000.0
0.031452342699432694,0.2256713282505896,0.0,0.0,0.0,0.0,0.0,0.0,0.7428763290499776,1052010.1797011239,1000.0
0.032286229415799124,0.22547703288321722,0.0,0.0,0.0,0.0,0.0,0.0,0.7422367377009838,1059930.552299982,1000.0
0.03311868147094258,0.22528307179150103,0.0,0.0,0.0,0.0,0.0,0.0,0.7415982467375565,1067837.298285997,1000.0
0.03394970256407738,0.22508944411352527,0.0,0.0,0.0,0.0,0.0,0.0,0.7409608533223975,1075730.4527948236,1000.0
0.03477929638171106,0.22489614899033467,0.0,0.0,0.0,0.0,0.0,0.0,0.7403245546279543,1083610.0508414253,1000.0
0.03560746659769891,0.22470318556592203,0.0,0.0,0.0,0.0,0.0,0.0,0.7396893478363791,1091476.1273205935,1000.0
0.03643421687329817,0.22451055298721545,0.0,0.0,0.0,0.0,0.0,0.0,0.7390552301394864,1099328.7170074608,1000.0
0.037259550857222046,0.22431825040406578,0.0,0.0,0.0,0.0,0.0,0.0,0.7384221987387122,1107167.854558016,1000.0
0.0380834721856933,0.22412627696923418,0.0,0.0,0.0,0.0,0.0,0.0,0.7377902508450725,1114993.5745096104,1000.0
0.03890598448249773,0.22393463183837953,0.0,0.0,0.0,0.0,0.0,0.0,0.7371593836791227,1122805.911281469,1000.0
0.039727091359037243,0.22374331417004628,0.0,0.0,0.0,0.0,0.0,0.0,0.7365295944709164,1130604.8991751913,1000.0
0.04054679641438277,0.22355232312565193,0.0,0.0,0.0,0.0,0.0,0.0,0.7359008804599652,1138390.572375256,1000.0
0.04136510323532678,0.22336165786947487,0.0,0.0,0.0,0.0,0.0,0.0,0.7352732388951985,1146162.9649495203,1000.0
0.04218201539643562,0.22317131756864206,0.0,0.0,0.0,0.0,0.0,0.0,0.7346466670349223,1153922.110849714,1000.0
0.04299753646010161,0.22298130139311717,0.0,0.0,0.0,0.0,0.0,0.0,0.7340211621467813,1161668.0439119379,1000.0
0.04381166997659478,0.2227916085156883,0.0,0.0,0.0,0.0,0.0,0.0,0.733396721507717,1169400.7978571523,1000.0
0.044624419484114386,0.222602238111956,0.0,0.0,0.0,0.0,0.0,0.0,0.7327733424039296,1177120.4062916688,1000.0
0.04543578850884019,0.22241318936032145,0.0,0.0,0.0,0.0,0.0,0.0,0.7321510221308384,1184826.9027076366,1000.0
0.046245780564983435,0.2222244614419744,0.0,0.0,0.0,0.0,0.0,0.0,0.7315297579930423,1192520.3204835241,1000.0
0.04705439915483759,0.22203605354088143,0.0,0.0,0.0,0.0,0.0,0.0,0.730909547304281,1200200.6928846042,1000.0
0.04786164776882885,0.22184796484377425,0.0,0.0,0.0,0.0,0.0,0.0,0.7302903873873969,1207868.0530634336,1000.0
0.04866752988556631,0.22166019454013797,0.0,0.0,0.0,0.0,0.0,0.0,0.7296722755742957,1215522.434060327,1000.0
